date,equity,cash,gross_exposure,net_exposure,unrealized_pnl_total,realized_pnl_total,fees_paid,total_trades
2023-08-01,90554.35496924745,122248.38522577884,31694.030256531398,-31694.030256531398,-4714.711006488063,-4643.337942615314,87.59608164900247,2
2023-08-02,91122.38172745108,123015.26058411393,31892.87885666285,-31892.87885666285,-4146.5211458262265,-4643.337942615314,87.75918410718981,4
2023-08-03,91193.62160187712,123111.39415481787,31917.772552940754,-31917.772552940754,-4075.260860812043,-4643.337942615314,87.77959469533329,6
2023-08-04,91340.47055114259,123309.64637397719,31969.175822834608,-31969.175822834608,-3928.369761702129,-4643.337942615314,87.82174453978752,8
2023-08-07,91065.5308153453,122938.48724975207,31872.956434406773,-31872.956434406773,-4155.008222698142,-4691.560388927209,87.90057302916108,10
2023-08-08,91270.27514296753,123214.88814222947,31944.61299926193,-31944.61299926193,-3950.2050687906703,-4691.560388927209,87.95939931439696,12
2023-08-09,91552.58128887328,123596.00735606531,32043.42606719204,-32043.42606719204,-3667.8177877448197,-4691.560388927209,88.04053445452101,14
2023-08-10,91517.20776573724,123548.23360509498,32031.02583935774,-32031.02583935774,-3696.8893971937223,-4697.852120412223,88.05071665663446,16
2023-08-11,91628.62369389596,123698.6521554355,32070.028461539543,-32070.028461539543,-3585.4413655680464,-4697.852120412223,88.0828201235987,18
2023-08-14,91360.08199241137,123336.1326756066,31976.050683195215,-31976.050683195215,-3807.8222027853735,-4743.9358416244095,88.15996317865846,20
2023-08-15,91715.88000736915,123816.46456803648,32100.584560667332,-32100.584560667332,-3451.9220162409147,-4743.9358416244095,88.26213476535173,22
2023-08-16,92003.53540087218,124204.7955162988,32201.26011542661,-32201.26011542661,-3164.183900656233,-4743.9358416244095,88.34485684698902,24
2023-08-17,92294.13937056214,161519.22471059192,69225.08534002978,-69225.08534002978,-2865.632356204759,-4743.9358416244095,96.29243160850486,26
2023-08-18,92320.90594966995,161561.59452196368,69240.68857229373,-69240.68857229373,-2838.5802717744937,-4744.20818417858,96.30559437682388,28
2023-08-21,91537.57837705925,160190.93995577891,68653.36157871966,-68653.36157871966,-3545.204728427464,-4820.61931861436,96.5975758987782,30
2023-08-22,91679.55161788329,160439.24333594233,68759.69171805904,-68759.69171805904,-3403.178680077741,-4820.61931861436,96.65038342447392,32
2023-08-23,90746.44874682903,122509.82917011838,31763.380423289338,-31763.380423289338,-1971.4398966967537,-7177.396773208107,104.71458326597305,34
2023-08-24,91298.0999118844,159776.15103836035,68478.05112647594,-68478.05112647594,-1411.8535544115655,-7177.396773208107,112.64976049580551,36
2023-08-25,90791.12823638611,158884.58220723318,68093.45397084707,-68093.45397084707,-1893.6751582278252,-7202.357145156175,112.83946022976319,38
2023-08-28,90311.09158751549,121922.04130109672,31610.949713581227,-31610.949713581227,-1090.5770518948061,-8477.631634620593,120.69972596899713,40
2023-08-29,89737.27388703715,121145.36531567172,31408.091428634565,-31408.091428634565,-1622.7863927510316,-8519.074889155218,120.86483105647658,42
2023-08-30,89584.9733268226,120939.72590462779,31354.752577805197,-31354.752577805197,-1763.2064961417016,-8530.911652329985,120.9085247056051,44
2023-08-31,89560.89074805778,120907.20702837333,31346.316280315557,-31346.316280315557,-1783.6347829230654,-8534.551055511263,120.92341350779367,46
