date,equity,cash,gross_exposure,net_exposure,unrealized_pnl_total,realized_pnl_total,fees_paid,total_trades
2023-08-01,90554.34585922938,122248.37292749305,31694.027068263673,-31694.027068263673,-4714.711802578137,-4643.346239039795,87.59609915267333,2
2023-08-02,91122.3759987379,123015.25285058955,31892.876851851648,-31892.876851851648,-4146.518559641575,-4643.346239039795,87.759202580717,4
2023-08-03,91193.61324234171,123111.3828691969,31917.76962685518,-31917.76962685518,-4075.2609062073416,-4643.346239039795,87.7796124111414,6
2023-08-04,91340.46238232245,123309.63534613015,31969.172963807694,-31969.172963807694,-3928.3696163247873,-4643.346239039795,87.82176231296474,8
2023-08-07,91065.52399917343,122938.4780477931,31872.95404861968,-31872.95404861968,-4155.007021604419,-4691.568388808827,87.90059041333305,10
2023-08-08,91270.26701043612,123214.87716318805,31944.610152751935,-31944.610152751935,-3950.2051844356633,-4691.568388808827,87.95941631939681,12
2023-08-09,91552.5693635487,123595.99125656136,32043.42189301267,-32043.42189301267,-3667.821697274383,-4691.568388808827,88.04055036810067,14
2023-08-10,91517.19966899624,123548.22267417598,32031.023005179744,-32031.023005179744,-3696.8901251264365,-4697.859474407598,88.05073146973498,16
2023-08-11,91628.61446236074,123698.63969279839,32070.025230437655,-32070.025230437655,-3585.443228619536,-4697.859474407598,88.08283461214249,18
2023-08-14,91360.07640271987,123336.1251292654,31976.048726545534,-31976.048726545534,-3807.8209920829963,-4743.942628573377,88.15997662376527,20
2023-08-15,91715.87197194436,123816.45372002426,32100.5817480799,-32100.5817480799,-3451.92325197448,-4743.942628573377,88.26214750779329,22
2023-08-16,92003.52598705208,124204.7828075117,32201.256820459614,-32201.256820459614,-3164.186515183035,-4743.942628573377,88.34486919151803,24
2023-08-17,92294.13013693829,161519.20855143157,69225.07841449328,-69225.07841449328,-2865.6347912830247,-4743.942628573377,96.29244320534185,26
2023-08-18,92320.89621853328,161561.57749178197,69240.68127324869,-69240.68127324869,-2838.5832710546665,-4744.21490560553,96.30560480653986,28
2023-08-21,91537.57774174273,160190.9388417019,68653.36109995916,-68653.36109995916,-3545.199727153554,-4820.624948169523,96.59758293422652,30
2023-08-22,91679.54760915734,160439.23631962884,68759.6887104715,-68759.6887104715,-3403.1770534787156,-4820.624948169523,96.65038919446835,32
2023-08-23,90746.43936803911,122509.81650906801,31763.377141028905,-31763.377141028905,-1971.4413228238432,-7177.404718922422,104.71459021467214,34
2023-08-24,91298.09218946294,159776.13752429356,68478.04533483062,-68478.04533483062,-1411.853324331232,-7177.404718922422,112.64976728343032,36
2023-08-25,90791.12205468229,158884.5713894675,68093.44933478523,-68093.44933478523,-1893.6733806665998,-7202.365098192094,112.83946645903595,38
2023-08-28,90311.08253206787,121922.02907637051,31610.94654430265,-31610.94654430265,-1090.5774618163941,-8477.640273621491,120.69973249426796,40
2023-08-29,89737.26644740615,121145.3552719758,31408.088824569655,-31408.088824569655,-1622.7853595734996,-8519.08335590543,120.86483711494829,42
2023-08-30,89584.96459734881,120939.7141199599,31354.74952261109,-31354.74952261109,-1763.2066347486782,-8530.920236767413,120.90853113512895,44
2023-08-31,89560.88310974525,120907.1967166841,31346.31360693885,-31346.31360693885,-1783.6338387632986,-8534.559631325741,120.9234201657314,46
2023-09-01,89548.2304283859,120890.11331519712,31341.882886811225,-31341.882886811225,-1794.8762460716675,-8535.960190684686,120.93313485778873,48
2023-09-05,89596.0155969471,120954.62473469863,31358.60913775154,-31358.60913775154,-1746.2495974638712,-8536.783115977898,120.95168961117581,50
2023-09-06,89839.44970261533,121283.2760810457,31443.82637843037,-31443.82637843037,-1502.7456034271572,-8536.783115977898,121.02157797966065,52
2023-09-07,90000.10928797163,121500.16087423482,31500.051586263187,-31500.051586263187,-1342.039837946242,-8536.783115977898,121.06775810428276,54
2023-09-08,89954.36079178847,121438.39048800983,31484.02969622137,-31484.02969622137,-1385.0793231123075,-8539.47900193732,121.08088316197262,56
2023-09-11,89665.26670130706,121048.13338354607,31382.866682239008,-31382.866682239008,-1652.3497952324233,-8561.219651007053,121.16385245352794,58
2023-09-12,89925.2644740442,121399.12831801902,31473.86384397481,-31473.86384397481,-1392.2773132263778,-8561.219651007053,121.2385617224199,60
2023-09-13,89846.94619445232,121293.38405402435,31446.437859572026,-31446.437859572026,-1465.106669663943,-8566.686064644759,121.26107123904285,62
2023-09-14,89582.72907165487,120936.70402978834,31353.97495813347,-31353.97495813347,-1709.8893220353257,-8586.044796247455,121.33681006242129,64
2023-09-15,90039.91580085352,121553.9223422702,31514.006541416682,-31514.006541416682,-1252.5712630569744,-8586.044796247455,121.46813984211498,66
2023-09-18,90014.24121996286,121519.2277213176,31504.98650135474,-31504.98650135474,-1276.7587605439262,-8587.524498103849,121.47552138944705,68
2023-09-19,90080.46534092342,121608.63322644802,31528.1678855246,-31528.1678855246,-1210.5156259657224,-8587.524498103849,121.49453500708638,70
2023-09-20,90452.44809151537,122110.83458120089,31658.386489685516,-31658.386489685516,-838.4259110880687,-8587.524498103849,121.60149929277846,72
2023-09-21,91003.98286730591,122855.41912196988,31851.436254663975,-31851.436254663975,-286.73247852913823,-8587.524498103849,121.76015606117042,74
2023-09-22,91037.55963477306,122900.70732433467,31863.1476895616,-31863.1476895616,-253.14610503315208,-8587.524498103849,121.76976209000581,76
2023-09-25,90894.85136834887,122708.0602966711,31813.208928322223,-31813.208928322223,-393.36137455496487,-8589.976470611045,121.81078648518191,78
2023-09-26,91359.47164434071,159883.5414149237,68524.069770583,-68524.069770583,79.1842403868235,-8589.976470611045,129.73612543512468,80
2023-09-27,91265.47240340934,159714.59963363493,68449.1272302256,-68449.1272302256,-14.439923044976297,-8590.315477735703,129.77219581002396,82
2023-09-28,90780.57996271108,158866.12032453108,68085.54036181999,-68085.54036181999,-492.49751183650835,-8596.969521455683,129.95300399677933,84
2023-09-29,90838.45426772785,158967.30374645023,68128.84947872238,-68128.84947872238,-434.55817484181887,-8597.011799674148,129.9757577562115,86
2023-10-02,90567.60832309161,158493.38348342237,67925.77516033076,-67925.77516033076,-696.944132509653,-8605.370570138184,130.07697426059588,88
2023-10-03,91617.87592576328,160331.50944026958,68713.6335145063,-68713.6335145063,353.71557036751784,-8605.370570138184,130.469074466117,90
2023-10-04,90899.88086627275,159074.95111089488,68175.07024462213,-68175.07024462213,-354.74379171789224,-8614.638397830591,130.73694417883434,92
2023-10-05,91013.11688533207,159272.98187801687,68259.8649926848,-68259.8649926848,-241.46547921884746,-8614.638397830591,130.77923761854376,94
2023-10-06,90035.67468187626,157562.64251807562,67526.96783619936,-67526.96783619936,-1186.2583101748983,-8646.923578929027,131.14342901986333,96
2023-10-09,89639.54818197736,121015.43356990446,31375.885387927112,-31375.885387927112,-727.6972071242529,-9493.83518637151,138.9194245269454,98
2023-10-10,89470.9696352487,120785.82193291413,31314.85229766544,-31314.85229766544,-889.6466317934905,-9500.415465990556,138.9682669673187,100
2023-10-11,89287.56197260754,156257.48206466797,66969.92009206043,-66969.92009206043,-1065.5089423421155,-9500.415465990556,146.51361905983882,102
2023-10-12,89600.55940624571,120962.73023231294,31362.170826067224,-31362.170826067224,-350.2325192242723,-9895.187693289108,154.02038124094653,104
2023-10-13,89875.69703870552,121332.213942241,31456.516903535477,-31456.516903535477,-75.01610758989378,-9895.187693289108,154.0991604155302,106
2023-10-16,89532.28105954791,120868.6055835931,31336.3245240452,-31336.3245240452,-412.1800834557014,-9901.341092208459,154.19776478799267,108
2023-10-17,89576.68093613687,156763.49649462214,67186.81555848528,-67186.81555848528,-360.14258063818295,-9901.341092208459,161.83539101656453,110
2023-10-18,90464.66493991984,158313.3493568125,67848.68441689268,-67848.68441689268,528.1714535194686,-9901.341092208459,162.16542139123797,112
2023-10-19,91072.63332839096,122950.03482265893,31877.401494267964,-31877.401494267964,542.2408940606642,-9299.9106827121,169.69688295764908,114
2023-10-20,91498.33460407902,160126.55394985017,68628.21934577115,-68628.21934577115,975.8699643645614,-9299.9106827121,177.6246775734798,116
2023-10-23,91454.23278410778,160044.93008309597,68590.69729898819,-68590.69729898819,930.4382966697362,-9298.546313212217,177.65919934979976,118
2023-10-24,90854.06410920447,122655.08211426834,31801.018005063874,-31801.018005063874,155.5951082996779,-9115.906548010596,185.6244510846832,120
2023-10-25,91471.26773535232,123486.26114307121,32014.993407718895,-32014.993407718895,772.9762725588141,-9115.906548010596,185.8019891959733,122
2023-10-26,91968.02993377186,124156.88023619098,32188.850302419112,-32188.850302419112,1269.8818468180361,-9115.906548010596,185.9453650356519,124
2023-10-27,91963.67778497774,124150.97355618178,32187.29577120403,-32187.29577120403,1262.4698899237826,-9112.814654851813,185.97745009429397,126
2023-10-30,91582.24879625997,160273.27994609263,68691.03114983266,-68691.03114983266,888.7507964342824,-9112.814654851813,193.68734532258372,128
2023-10-31,91202.16857189726,159603.87329699312,68401.70472509586,-68401.70472509586,503.9404628844707,-9107.941835899172,193.83005508810112,130
2023-11-01,90243.4440179899,157926.2377198534,67682.79370186351,-67682.79370186351,-442.94627727877275,-9119.421931372623,194.18777335878983,132
2023-11-02,88980.08890623448,155715.4193172361,66735.33041100163,-66735.33041100163,-1651.1985628239731,-9174.054226039587,194.6583049020187,134
2023-11-03,88283.37291521416,154496.05226795195,66212.67935273779,-66212.67935273779,-2304.9613110763835,-9216.748007170581,194.91776653893783,136
2023-11-06,88072.08590469914,154126.19702588924,66054.1111211901,-66054.1111211901,-2501.942513125484,-9230.975100567735,194.99648160772296,138
2023-11-07,87665.73997387112,153415.13892186648,65749.39894799536,-65749.39894799536,-2875.546241931178,-9263.565935656561,195.14784854120106,140
2023-11-08,87620.48141664086,153335.85185557575,65715.37043893489,-65715.37043893489,-2917.288906407693,-9267.064976131975,195.16470081954787,142
2023-11-09,88129.39891657769,154226.5547246946,66097.15580811692,-66097.15580811692,-2408.1818939820387,-9267.064976131975,195.3542133083927,144
2023-11-10,86870.20815534226,152023.1371054668,65152.92895012454,-65152.92895012454,-3544.7973043670804,-9389.172034366338,195.82250592442097,146
2023-11-13,87002.80062221819,152254.93169074247,65252.13106852428,-65252.13106852428,-3412.1555050924426,-9389.172034366338,195.87183832312843,148
2023-11-14,85667.01366604365,149917.55610381876,64250.542437775104,-64250.542437775104,-4580.192373675537,-9556.426037188508,196.36792309239348,150
2023-11-15,85574.78920019846,149755.89865308773,64181.10945288927,-64181.10945288927,-4661.037967665283,-9567.770643830765,196.40218830560067,152
2023-11-16,85508.05165092496,149639.1038731787,64131.05222225376,-64131.05222225376,-4719.261281090237,-9576.26010782282,196.42696016209493,154
2023-11-17,85460.67556426075,149556.19084136828,64095.515277107545,-64095.515277107545,-4760.731479005706,-9582.148432715012,196.44452401865584,156
2023-11-20,84823.56605443166,148441.3795214531,63617.81346702146,-63617.81346702146,-5303.22232337778,-9676.530577143001,196.68104504768988,158
2023-11-21,85077.59333450595,148885.8461092362,63808.25277473026,-63808.25277473026,-5049.100630062051,-9676.530577143001,196.77545828912568,160
2023-11-22,84823.73328208554,148441.58660568832,63617.85332360279,-63617.85332360279,-5266.037345855337,-9713.35969939535,196.86967266391818,162
2023-11-24,84848.99855484563,148485.75694877867,63636.758393933036,-63636.758393933036,-5240.000102354084,-9714.11796337133,196.88337942911605,164
2023-11-27,84934.04630354283,148634.59762958254,63700.55132603971,-63700.55132603971,-5154.920800110764,-9714.11796337133,196.91493297523806,166
2023-11-28,84818.98568324752,148433.25108561094,63614.265402363424,-63614.265402363424,-5252.866262740531,-9731.190379970682,196.95767404145053,168
2023-11-29,84872.32327638642,148526.57723254705,63654.253956160625,-63654.253956160625,-5199.5088625552025,-9731.190379970682,196.97748108790364,170
2023-11-30,84819.80262758558,114508.62600287123,29688.82337528565,-29688.82337528565,-2445.010180478326,-12530.996056380132,204.19113555617102,172
2023-12-01,84682.46311993393,148198.33738250282,63515.87426256889,-63515.87426256889,-2575.2041188124135,-12530.996056380132,211.336704873751,174
2023-12-04,85136.93738166314,114936.71765480208,29799.780273138942,-29799.780273138942,-998.9287994284346,-13645.742498833948,218.39132007470923,176
2023-12-05,85102.45421951437,114888.31664195012,29785.862422435745,-29785.862422435745,-1031.6763679803714,-13647.46779062218,218.40162188330729,178
2023-12-06,85248.5639070172,115085.57277153996,29837.008864522755,-29837.008864522755,-885.5247914783761,-13647.46779062218,218.4435108824775,180
2023-12-07,84926.19477566466,114650.38897806151,29724.194202396866,-29724.194202396866,-1190.063181940217,-13665.206183390548,218.53585900482165,182
2023-12-08,84796.02537815634,114474.64409636328,29678.618718206948,-29678.618718206948,-1312.4173468392958,-13672.984163362938,218.5731116416731,184
2023-12-11,84611.49497126244,114225.53338093183,29614.03840966939,-29614.03840966939,-1484.0271622436226,-13685.851913728813,218.62595276536902,186
2023-12-12,84425.88982357905,113974.96615468654,29549.07633110749,-29549.07633110749,-1655.1864511295353,-13700.244659045942,218.6790662457222,188
2023-12-13,84027.25021318685,147051.6331597859,63024.38294659906,-63024.38294659906,-2046.8223451889949,-13700.244659045942,225.68278257845964,190
2023-12-14,83953.39948329772,146918.45975908905,62965.06027579133,-62965.06027579133,-2116.31727826757,-13704.572381053855,225.71085738110364,192
2023-12-15,83853.01074629198,146742.80017570898,62889.789429417,-62889.789429417,-2209.185910052241,-13712.049163453528,225.75418020248645,194
2023-12-18,83477.9335656126,146086.46279110038,62608.52922548777,-62608.52922548777,-2557.225328564455,-13738.94806087807,225.8930449450931,196
2023-12-19,83127.49075964367,145473.18065827707,62345.68989863339,-62345.68989863339,-2879.344728319971,-13767.141791299615,226.02272073695303,198
2023-12-20,84022.35108284524,147039.30242265243,63016.95133980719,-63016.95133980719,-1984.1527638578175,-13767.141791299615,226.3543619975411,200
2023-12-21,83356.72533067863,145874.41082995554,62517.6854992769,-62517.6854992769,-2600.775645867589,-13815.898197141614,226.60082631235892,202
2023-12-22,83247.10321091335,145682.45284054917,62435.34962963582,-62435.34962963582,-2702.1198576852485,-13824.135516816112,226.64141458548585,204
2023-12-26,82924.06098327095,145117.17641599552,62193.115432724575,-62193.115432724575,-2997.4989617125975,-13851.679066003557,226.76098901310934,206
2023-12-27,82804.48953022307,144907.88188300063,62103.392352777555,-62103.392352777555,-3106.5220522642185,-13862.18317220085,226.80524531204918,208
2023-12-28,82807.8460221282,144913.73396846035,62105.88794633215,-62105.88794633215,-3102.686628711175,-13862.656426497826,226.81092266299495,210
2023-12-29,83032.04873487835,145306.13382547078,62274.08509059243,-62274.08509059243,-2878.40086402456,-13862.656426497826,226.89397459946017,212
2024-01-02,83732.95219657826,146532.82678690177,62799.87459032351,-62799.87459032351,-2177.237406861157,-13862.656426497826,227.15397006293105,214
2024-01-03,84314.71540906772,113826.68463720458,29511.969228136866,-29511.969228136866,-753.4842139844261,-14697.721971429175,234.07840551886167,216
2024-01-04,84438.15222414736,113991.51522714438,29553.363002997023,-29553.363002997023,-630.0124516465119,-14697.721971429175,234.1133527771384,218
2024-01-05,84400.37727917559,113940.51211502764,29540.134835852048,-29540.134835852048,-666.6155491057013,-14698.883021301375,234.12415041752442,220
2024-01-08,83877.30077313815,146789.18832655108,62911.88755341293,-62911.88755341293,-1182.7400978563167,-14698.883021301375,241.07610770435355,222
2024-01-09,83862.85991865364,146760.01896540207,62897.15904674843,-62897.15904674843,-1195.7500314227318,-14700.290947811305,241.09910211252208,224
2024-01-10,83471.71445098607,146075.58322841697,62603.8687774309,-62603.8687774309,-1569.5254027448786,-14717.516275498394,241.24387077088332,226
2024-01-11,83420.35473319516,145985.63466093273,62565.279927737574,-62565.279927737574,-1618.2876793506175,-14720.09463188622,241.26295556822723,228
2024-01-12,83375.5727146924,112558.88086777471,29183.30815308231,-29183.30815308231,-771.9757053810513,-15604.120362829555,248.33121709721985,230
2024-01-16,83430.55175483896,112631.24792853896,29200.69617369999,-29200.69617369999,-716.9813958014486,-15604.120362829555,248.34648653026935,232
2024-01-17,83594.020873264,112851.94047685547,29257.919603591457,-29257.919603591457,-553.4655712475158,-15604.120362829555,248.39319265916583,234
2024-01-18,83256.18521851252,112395.87683459595,29139.691616083437,-29139.691616083437,-876.9148238078674,-15618.410291368,248.48966631184965,236
2024-01-19,82785.48665287136,111760.44425624012,28974.957603368763,-28974.957603368763,-1317.4480755950444,-15648.441312132454,248.62395940137878,238
2024-01-22,82735.92250985622,111693.49888511916,28957.57637526294,-28957.57637526294,-1363.9658264456134,-15651.47357355729,248.63809014111058,240
2024-01-23,82633.58591560982,111555.34898546229,28921.763069852466,-28921.763069852466,-1459.1119236364084,-15658.634885966805,248.66727478720156,242
2024-01-24,82537.50363362157,111425.63830364803,28888.134670026455,-28888.134670026455,-1547.390320931135,-15666.411342184638,248.69470326289493,244
2024-01-25,82441.27607312318,111295.7287684454,28854.45269532223,-28854.45269532223,-1636.8837022982468,-15673.118141181865,248.7220833969415,246
2024-01-26,82545.52669894657,111436.47011830565,28890.94341935908,-28890.94341935908,-1532.6033001491041,-15673.118141181865,248.75185972269,248
