date,equity,cash,gross_exposure,net_exposure,unrealized_pnl_total,realized_pnl_total,fees_paid,total_trades
2023-08-01,90554.34484244953,122248.37155483983,31694.026712390296,-31694.026712390296,-4714.715106690508,-4643.343977355023,87.59607350484691,2
2023-08-02,91122.37475373776,123015.25116977782,31892.876416040053,-31892.876416040053,-4146.522092042947,-4643.343977355023,87.75917686417269,4
2023-08-03,91193.61219731203,123111.38145846772,31917.76926115568,-31917.76926115568,-4075.2642385783947,-4643.343977355023,87.77958675446617,6
2023-08-04,91340.46709905911,123309.64171410051,31969.174615041393,-31969.174615041393,-3928.3671852788384,-4643.343977355023,87.82173830694713,8
2023-08-07,91065.5228582597,122938.47650794145,31872.953649681753,-31872.953649681753,-4155.009501548678,-4691.56707210827,87.90056808328164,10
2023-08-08,91270.26807225449,123214.87859676739,31944.610524512904,-31944.610524512904,-3950.2054610181603,-4691.56707210827,87.95939461900988,12
2023-08-09,91552.57308148868,123595.99627603125,32043.423194542567,-32043.423194542567,-3667.819316969093,-4691.56707210827,88.04052943387562,14
2023-08-10,91517.19934225941,123548.22223346288,32031.022891203465,-32031.022891203465,-3696.8910235339727,-4697.858922505845,88.05071170068199,16
2023-08-11,91628.61412666949,123698.63923961429,32070.0251129448,-32070.0251129448,-3585.4441359843,-4697.858922505845,88.08281484028461,18
2023-08-14,91360.07878989702,123336.12835169783,31976.049561800814,-31976.049561800814,-3807.8197188517443,-4743.94153518313,88.15995606801862,20
2023-08-15,91715.87438256684,123816.45697436674,32100.5825917999,-32100.5825917999,-3451.921955290831,-4743.94153518313,88.26212695912103,22
2023-08-16,92003.52841956378,124204.78609140453,32201.25767184075,-32201.25767184075,-3164.185196603593,-4743.94153518313,88.34484864941629,24
2023-08-17,92294.1364826728,161519.21965752842,69225.08317485562,-69225.08317485562,-2865.629557728832,-4743.94153518313,96.29242441514872,26
2023-08-18,92320.88865757403,161561.5642586398,69240.67560106576,-69240.67560106576,-2838.5916550036427,-4744.214102278343,96.30558514388191,28
2023-08-21,91537.5617985968,160190.91094309377,68653.34914449697,-68653.34914449697,-3545.2153249148305,-4820.625310095584,96.5975663926908,30
2023-08-22,91679.53942750095,160439.22200327943,68759.68257577848,-68759.68257577848,-3403.184886861524,-4820.625310095584,96.6503755418759,32
2023-08-23,90746.43962370757,122509.81685334607,31763.3772296385,-31763.3772296385,-1971.4414930200887,-7177.404309793478,104.71457347879219,34
2023-08-24,91298.0873807382,159776.1291078248,68478.04172708659,-68478.04172708659,-1411.8585608341775,-7177.404309793478,112.64974863406277,36
2023-08-25,90791.12610841206,158884.57848127792,68093.45237286585,-68093.45237286585,-1893.670298921998,-7202.364148164794,112.8394445010418,38
2023-08-28,90311.08654259707,121922.03449068672,31610.94794808966,-31610.94794808966,-1090.5760611596197,-8477.637685328662,120.69971091453583,40
2023-08-29,89737.27152210535,121145.36212276145,31408.090600656105,-31408.090600656105,-1622.7830184458248,-8519.08064421668,120.86481523203541,42
2023-08-30,89584.96746029187,120939.71798505855,31354.750524766678,-31354.750524766678,-1763.2063672514523,-8530.917662572476,120.9085098840742,44
2023-08-31,89560.8883410663,120907.20377889658,31346.315437830286,-31346.315437830286,-1783.6313320693373,-8534.556927993413,120.9233988708163,46
2023-09-01,89548.22579425333,120890.10705855979,31341.88126430646,-31341.88126430646,-1794.8834276137788,-8535.957665752096,120.93311238066177,48
2023-09-05,89596.01461093235,120954.62340340231,31358.608792469946,-31358.608792469946,-1746.2533577628662,-8536.780364493568,120.95166681106807,50
2023-09-06,89839.45362070308,121283.28137088583,31443.827750182754,-31443.827750182754,-1502.7444582133776,-8536.780364493568,121.02155658983683,52
2023-09-07,90000.11192625856,121500.16443580131,31500.05250954276,-31500.05250954276,-1342.0399729020796,-8536.780364493568,121.06773634566709,54
2023-09-08,89954.36826485585,121438.40057627865,31484.03231142281,-31484.03231142281,-1385.0749254756881,-8539.475949652258,121.08086001607519,56
2023-09-11,89665.26817101744,121048.13536809463,31382.867197077197,-31382.867197077197,-1652.350970562553,-8561.217027391876,121.16383102800226,58
2023-09-12,89925.2646560944,121399.12856366535,31473.86390757095,-31473.86390757095,-1392.27977658805,-8561.217027391876,121.23853992554182,60
2023-09-13,89846.94879326048,121293.3875622293,31446.438768968816,-31446.438768968816,-1465.1068706425835,-8566.68328734803,121.26104874877055,62
2023-09-14,89582.73185803996,120936.70779134883,31353.975933308873,-31353.975933308873,-1709.889379293501,-8586.041975150443,121.33678751596564,64
2023-09-15,90039.91861030286,121553.92613502937,31514.007524726505,-31514.007524726505,-1252.5712972440506,-8586.041975150443,121.46811730251136,66
2023-09-18,90014.24271439793,121519.22973892899,31504.987024531056,-31504.987024531056,-1276.760022686506,-8587.521763686915,121.47549922850843,68
2023-09-19,90080.46663140299,121608.63496853437,31528.168337131377,-31528.168337131377,-1210.517092125,-8587.521763686915,121.49451278494729,70
2023-09-20,90452.45068313915,122110.83808001582,31658.387396876675,-31658.387396876675,-838.4260757278821,-8587.521763686915,121.60147744592106,72
2023-09-21,91003.98413524003,122855.42083355531,31851.43669831528,-31851.43669831528,-286.7339672413265,-8587.521763686915,121.76013383157466,74
2023-09-22,91037.5620555825,122900.71059249277,31863.14853691028,-31863.14853691028,-253.14644053966794,-8587.521763686915,121.76974019077687,76
2023-09-25,90894.84916343336,122708.05732029697,31813.208156863613,-31813.208156863613,-393.36626567048063,-8589.973804986106,121.81076590991061,78
2023-09-26,91359.47186996469,159883.54181016842,68524.06994020373,-68524.06994020373,79.18178049712397,-8589.973804986106,129.7361055461758,80
