date,equity,cash,gross_exposure,net_exposure,unrealized_pnl_total,realized_pnl_total,fees_paid,total_trades
2023-08-01,90554.35568335035,122248.38618981747,31694.030506467105,-31694.030506467105,-4714.713052765803,-4643.335164876709,87.59609900693235,2
2023-08-02,91122.38804400706,123015.26911183003,31892.88106782297,-31892.88106782297,-4146.517588045785,-4643.335164876709,87.75920307024984,4
2023-08-03,91193.62328727214,123111.39642978962,31917.77314251748,-31917.77314251748,-4075.2619355194256,-4643.335164876709,87.77961233153282,6
2023-08-04,91340.47578045372,123309.65343379769,31969.17765334397,-31969.17765334397,-3928.367291476931,-4643.335164876709,87.82176319244937,8
2023-08-07,91065.53733594343,122938.49605243736,31872.95871649393,-31872.95871649393,-4155.004780311611,-4691.557292433966,87.90059131080463,10
2023-08-08,91270.27444639045,123214.8872012945,31944.612754904058,-31944.612754904058,-3950.2088456515644,-4691.557292433966,87.95941552383962,12
2023-08-09,91552.5825786335,123596.00909730316,32043.426518669658,-32043.426518669658,-3667.8195777035644,-4691.557292433966,88.04055122877642,14
2023-08-10,91517.21084499567,123548.23776183992,32031.026916844243,-32031.026916844243,-3696.8898836133876,-4697.8485384803,88.05073291043732,16
2023-08-11,91628.627692365,123698.65755337043,32070.02986100543,-32070.02986100543,-3585.4409325171764,-4697.8485384803,88.08283663731696,18
2023-08-14,91360.08461958873,123336.1362224249,31976.051602836174,-31976.051602836174,-3807.822863997496,-4743.932536326455,88.1599800871173,20
2023-08-15,91715.88531092241,123816.47172808557,32100.586417163155,-32100.586417163155,-3451.9200003049928,-4743.932536326455,88.26215244593652,22
2023-08-16,92003.53825546135,124204.7993698051,32201.26111434376,-32201.26111434376,-3164.1843343885266,-4743.932536326455,88.34487382348485,24
2023-08-17,92294.14245906028,161519.23011576338,69225.0876567031,-69225.0876567031,-2865.632555687629,-4743.932536326455,96.29244892544972,26
2023-08-18,92320.90606187745,161561.5947177579,69240.68865588044,-69240.68865588044,-2838.5834161504727,-4744.2049109185555,96.30561105333436,28
2023-08-21,91537.57353288936,160190.93147932008,68653.35794643071,-68653.35794643071,-3545.2123289030465,-4820.6165437938835,96.59759441352047,30
2023-08-22,91679.55362033742,160439.24684116011,68759.6932208227,-68759.6932208227,-3403.179431392815,-4820.6165437938835,96.65040447568276,32
2023-08-23,90746.45613110105,122509.83913851957,31763.38300741852,-31763.38300741852,-1971.438053166923,-7177.391212758415,104.71460297343098,34
2023-08-24,91298.10400402127,159776.15819939293,68478.05419537166,-68478.05419537166,-1411.855003626502,-7177.391212758415,112.64977959363608,36
2023-08-25,90791.13969196584,158884.60225325264,68093.4625612868,-68093.4625612868,-1893.6696220993092,-7202.351209339241,112.83947659540658,38
2023-08-28,90311.10295174742,121922.0566430777,31610.953691330273,-31610.953691330273,-1090.5745383691678,-8477.622766518001,120.69974336522,40
2023-08-29,89737.28536003057,121145.38080415833,31408.09544412775,-31408.09544412775,-1622.7838698201826,-8519.065921729281,120.86484841977091,42
2023-08-30,89584.98128195357,120939.73664430296,31354.755362349388,-31354.755362349388,-1763.2072298810153,-8530.90294508885,120.90854307638439,44
2023-08-31,89560.9030547162,120907.223642495,31346.320587778802,-31346.320587778802,-1783.6312168092668,-8534.542295675383,120.92343279898749,46
2023-09-01,89548.24453264762,120890.13235584214,31341.887823194527,-31341.887823194527,-1794.8792702944254,-8535.943049421321,120.93314763646556,48
2023-09-05,89596.03099006487,120954.64551530353,31358.614525238663,-31358.614525238663,-1746.2514403140012,-8536.7658675041,120.95170211686528,50
2023-09-06,89839.46640010415,121283.29862277821,31443.832222674057,-31443.832222674057,-1502.7461415307323,-8536.7658675041,121.02159086085001,52
2023-09-07,90000.12860409009,121500.18695124169,31500.058347151604,-31500.058347151604,-1342.037756665554,-8536.7658675041,121.06777174009137,54
2023-09-08,89954.38342477773,121438.4210423581,31484.03761758037,-31484.03761758037,-1385.0740927641061,-8539.461586608131,121.08089584986428,56
2023-09-11,89665.28549686901,121048.15875787303,31382.873261004017,-31382.873261004017,-1652.3481320751312,-8561.202504812421,121.16386624327349,58
2023-09-12,89925.28223419063,121399.15229415946,31473.87005996883,-31473.87005996883,-1392.276685780705,-8561.202504812421,121.23857521607312,60
2023-09-13,89846.9698662475,121293.41601051562,31446.446144268117,-31446.446144268117,-1465.1005176410865,-8566.66853307313,121.26108303809916,62
2023-09-14,89582.74781941,120936.72933963608,31353.981520226083,-31353.981520226083,-1709.887747288646,-8586.027610027673,121.33682327351313,64
2023-09-15,90039.93356715122,121553.94632671865,31514.012759567428,-31514.012759567428,-1252.5706700484006,-8586.027610027673,121.46815277253187,66
2023-09-18,90014.25918484794,121519.25197385176,31504.99278900383,-31504.99278900383,-1276.7580068055227,-8587.507274086043,121.47553426034459,68
2023-09-19,90080.48200852502,121608.65572758758,31528.173719062564,-31528.173719062564,-1210.516169884656,-8587.507274086043,121.49454750412124,70
2023-09-20,90452.4670404447,122110.8601623863,31658.39312194161,-31658.39312194161,-838.4241730260796,-8587.507274086043,121.60151244302607,72
